"Covid-19"	"SD"	"HS"	"AD"	"EP"	"PD"	"IS"	"Imm"
"ENSG00000225092"	"KCTD21"	"P4HB"	"TFCP2L1"				
"SRSF7"	"FANCG"	"ROMO1"	"ELMO1-AS1"				
"PRDX5"	"TCP11L2"	"ADAM10"	"C5orf38"				
"MNS1"	"ZFYVE27"	"PTMA"	"ANKRD22"				
"WNT9A"	"HSP90AA1"	"GTPBP3"	"SHISA2"				
"PAK4"	"INPP5K"	"CNNM3"	"FAM19A4"				
"RN7SKP71"	"ASF1B"	"DPYSL5"	"ACP7"				
"PPP1R3C"	"TMEM158"	"CHPF2"	"C10orf90"				
"MT-CO2"	"H2BC7"	"HSPA8"	"LOC100128554"				
"CDA"	"ABHD14A"	"SGK1"	"C7orf61"				
"SEMA3B"	"CHMP6"	"LOC727896"	"CLCN1"				
"BCL7C"	"SRGAP2B"	"RAB11FIP4"	"LOC441052"				
"NGFR"	"LGALSL"	"SULT2A1"	"KRT81"				
"ENSG00000254676"	"ZNF296"	"ATP2B1"	"LOC642943"				
"ENSG00000213058"	"MGC70870"	"DPY19L1P1"	"LOC400997"				
"H3P31"	"GET3"	"CIB1"	"SGK1"				
"TMEM131L"	"FCGR2B"	"SCAMP2"	"TPTEP1"				
"BABAM2"	"PPM1M"	"HDLBP"	"DEPDC1"				
"TSR2"	"NEMF"	"SOD2"	"VIP"				
"HCFC1R1"	"BAG6"	"TIMP1"	"LINCR-0003"				
"SERPING1"	"LYL1"	"EIF3A"	"PROK2"				
"FOXO4"	"TRAPPC1"	"SLC22A18"	"IL16"				
"HMGN3"	"NDUFAF3"	"LPCAT1"	"LOC388780"				
"PDXDC2P-NPIPB14P"	"NGDN"	"GAK"	"IRX1"				
"LCN2"	"CAPN12"	"LOC100505876"	"LOC105376360"				
"ENSG00000261553"	"SLC35A4"	"PPIG"	"LOC100507472"				
"GCLC"	"BCAS3"	"IL1RN"	"ADAMTS2"				
"IL17RE"	"SH3GL3"	"IL8"	"SLC45A3"				
"SEC24A"	"SLC38A5"	"BCDIN3D-AS1"	"PTER"				
"ITCH-IT1"	"KCTD2"	"ATP6V0D2"	"LOC284933"				
"LETMD1"	"MAPK14"	"BTF3"	"MROH5"				
"NID1"	"PPP1R15A"	"PPCDC"	"LINC01108"				
"ID4"	"DCTN1"	"ZC3H12A"	"IFNL2"				
"WDR17"	"RNF41"	"TNFRSF14"	"SPINT1"				
"ERBB4"	"TANGO2"	"CMTM6"	"CHADL"				
"ENSG00000270120"	"ZNFX1"	"ARSG"	"CCDC189"				
"BLVRA"	"ORMDL2"	"NPC2"	"ASB9P1"				
"SLC43A1"	"NUDT2"	"DNAJB14"	"H1FNT"				
"USP27X"	"NT5M"	"IRAK1"	"MUC16"				
"TSTD1"	"VKORC1"	"RAB2B"	"CTD-2201E9.1"				
"SOCS2"	"LINC01949"	"CCDC90A"	"CDR1"				
"ITIH5"	"CYP27A1"	"SNRNP200"	"MIR3612"				
"POLR3H"	"LINC00597"	"TMCC3"	"DLX5"				
"LMNTD2-AS1"	"H2AW"	"PAR-SN"	"PNOC"				
"ELOVL6"	"POLL"	"HSP90B1"	"IGF2"				
"ENSG00000265421"	"CBX3"	"GPCPD1"	"ENPP6"				
"MTURN"	"TRIM10"	"EPS15L1"	"AZGP1"				
"DNALI1"	"COG7"	"HIST1H2BC"	"RPLP0P2"				
"PTMA"	"ARHGAP6"	"CHD1"	"KIF2B"				
"HEY1"	"SMIM3"	"GBP5"	"ZFPM2-AS1"				
"PAPSS1"	"MORN3"	"RRP15"	"LOC100507144"				
"LINC01852"	"POLA1"	"INSIG1"	"PCDH8"				
"SLC16A4-AS1"	"MAP2K3"	"KDM4A-AS1"	"SLED1"				
"SLC35G1"	"PCGF5"	"THAP9-AS1"	"LCN10"				
"NFS1"	"TNFAIP3"	"TUBA1A"	"LMNTD1"				
"CDC42BPG"	"TADA2B"	"SPRYD7"	"SELENOP"				
"ENSG00000272369"	"NRGN"	"UCKL1-AS1"	"LINC01470"				
"SLC9A8"	"UBAC1"	"ESRG"	"SFRP1"				
"SNCG"	"TSPYL5"	"PGM2L1"	"CLDN7"				
"MTCO3P12"	"PODNL1"	"NUCB1"	"MYBPC2"				
"STEAP3"	"MCAT"	"CEBPB"	"CBX3P2"				
"C1orf35"	"CDKN1A"	"CCDC30"	"LINC01361"				
"COPS9"	"CYB5R3"	"FAM41C"	"TESPA1"				
"NSUN6"	"SLC25A39"	"DNAJC27-AS1"	"G0S2"				
"RPS10"	"WDTC1"	"ARAF"	"HECTD2-AS1"				
"CYP21A1P"	"MIR181A2HG"	"PLAUR"	"ADORA2A-AS1"				
"ENSG00000273451"	"RTL6"	"SMARCA5"	"LINC00390"				
"DENND2A"	"RNF19B"	"ZNF526"	"LINC01378"				
"ETNK2"	"SHARPIN"	"TMBIM1"	"LOC101929719"				
"GAMT"	"FBXO7"	"CANT1"	"RAB27B"				
"BFSP1"	"HECTD3"	"CNIH4"	"RASL11B"				
"MPHOSPH8"	"GYPC"	"PDE4B"	"SLC30A8"				
"GOT2"	"BAK1"	"SUPT20H"	"ZNF341-AS1"				
"ENSG00000280384"	"HPS1"	"BCAS2"	"LMX1B"				
"NTAN1P2"	"IMP4"	"AZIN1"	"IP6K3"				
"SPN"	"PGAP2"	"COPB1"	"LCN2"				
"DNAI7"	"TSPAN2"	"SERINC3"	"RNASE2"				
"ZNF486"	"CCNI"	"SLC3A2"	"TAC3"				
"TMEM92"	"POLD4"	"MX2"	"C17orf102"				
"ENSG00000258561"	"TNFSF4"	"EIF5A2"	"LOC101927844"				
"EHHADH"	"ENDOD1"	"SQSTM1"	"TPH1"				
"CROCC"	"SMIM1"	"HIST2H2BF"	"EGR3"				
"TFG"	"CRTC2"	"LOC338758"	"TPO"				
"SNORA7B"	"DMTN"	"EIF4A3"	"LCN15"				
"CETN2"	"DHRSX"	"TPT1"	"SPTBN5"				
"ST6GAL1"	"MARCHF2"	"STRN3"	"TSPAN10"				
"FMO2"	"SIGLEC17P"	"FOSB"	"VNN1"				
"SRPK1"	"ZFYVE21"	"TM9SF1"	"MIR4534"				
"SCN8A"	"STK11"	"USP16"	"PKHD1L1"				
"TSPAN12"	"IPO11"	"AP2M1"	"LENEP"				
"CGN"	"IRF2"	"HMGN2"	"SLC5A11"				
"TLE5"	"TST"	"CSRNP1"	"MIR3139"				
"LRRC1"	"GCDH"	"NLN"	"DLX4"				
"ENSG00000270116"	"KRT18"	"CASP10"	"IQGAP3"				
"ZSWIM9"	"IP6K1"	"ALDOA"	"LRP2"				
"MTCH1P1"	"ZBED6CL"	"SSFA2"	"RTKN"				
"HGFAC"	"NELFE"	"CDK5RAP3"	"POU2AF1"				
"JHY"	"TUBB3"	"SLC4A1"	"TPH2"				
"MTCH2"	"CALCOCO1"	"TREM1"	"KLHDC7B"				
"SLC13A3"	"CPA3"	"HPSE"	"LOC101059915"				
"PON3"	"MYG1"	"CD44"	"LINC01512"				
"MT-CO3"	"DHPS"	"RPL10"	"HAPLN2"				
"FAM110C"	"TICAM1"	"LOC606724"	"OR2D3"				
"OVGP1"	"B9D2"	"VPS26A"	"CR1"				
"S100A4"	"TOMM40L"	"CHMP2B"	"TNN"				
"SLC7A2-IT1"	"POTEM"	"MED25"	"LINC00926"				
"HIPK2"	"TUBG1"	"PPIF"	"ADGRG5"				
"SEC61A2"	"MYADM"	"FCHO2"	"LAMA5-AS1"				
"LINC01138"	"GPR160"	"APLP2"	"NKX6-2"				
"PLD5P1"	"CXCR6"	"S100A12"	"LOC340090"				
"ENSG00000276934"	"OST4"	"ICAM1"	"LRRC63"				
"ENSG00000279433"	"CD19"	"PGK1"	"MIR657"				
"TUBB4BP2"	"KIAA0040"	"ACOT13"	"F2"				
"MT-CO1"	"TAFA1"	"RPL3"	"ZIC3"				
"PARD6B"	"NRM"	"SYTL3"	"GRK7"				
"NDUFV2"	"C2orf88"	"HSPA5"	"SCUBE1"				
"DANCR"	"PLA2G15"	"ZNF780B"	"GPA33"				
"ENSG00000267904"	"TPST2"	"ATP7A"	"CCKAR"				
"HSPE1P26"	"CCRL2"	"RHBDD2"	"LOC100129940"				
"MTCO1P12"	"TMEM44-AS1"	"SIPA1L1"	"C4orf26"				
"EMCN"	"STIMATE"	"PAXBP1-AS1"	"SLN"				
"MAPK14"	"HEBP1"	"IRS2"	"GDNF"				
"MIR23AHG"	"TTC14"	"ATAD3C"	"LGR5"				
"LRRIQ1"	"CYSTM1"	"CSTA"	"MIR4296"				
"STX18-IT1"	"SLAMF6"	"TNFAIP2"	"ZBTB46-AS1"				
"SNORA12"	"DPF2"	"LOC100505783"	"PTPRQ"				
"ENSG00000287002"	"PKIA"	"VPS37B"	"LOC105371789"				
"IRAK1BP1"	"SURF2"	"MATR3"	"RAB3C"				
"SDHAF4"	"FAM153B"	"KDM5B"	"SFTPA2"				
"ZNF578"	"TMCO6"	"ADPGK"	"PTF1A"				
"TNFRSF11B"	"STING1"	"SNX13"	"DNAJC5G"				
"FTLP2"	"CCR3"	"PSMC4"	"MIR4300HG"				
"TMTC2"	"TM7SF2"	"H6PD"	"MIR4311"				
"CLDN1"	"ARL2BP"	"ATP6V0A2"	"LOC100506271"				
"RPS15AP10"	"LRRTM2"	"ZNF548"	"C16orf90"				
"PLEKHB1"	"CHTF8"	"SNN"	"PRKXP1"				
"MYL6"	"CDC34"	"HSH2D"	"GDF2"				
"ZNF428"	"PIN4"	"ZFP36L2"	"CA9"				
"NES"	"LINC00919"	"FXR1"	"LINC01088"				
"HM13"	"BMX"	"RNASET2"	"PRIMA1"				
"CHORDC1P4"	"CSNK2A1"	"KLF10"	"ST18"				
"LINC01347"	"GBAP1"	"NUB1"	"OR7C1"				
"UQCC1"	"LINC00342"	"GTF2H2B"	"LOC100287072"				
"SLIT2"	"DENND1A"	"ZSWIM1"	"OR14I1"				
"LINC01290"	"FKBP8"	"NAIP"	"CD22"				
"SORD2P"	"NEU1"	"MRVI1"	"LINC00514"				
"SERPINE1"	"SNHG16"	"ARIH2"	"SNRPD2P2"				
"SHFL"	"FAM117A"	"LDHA"	"LINC00937"				
"SURF4"	"TMEM140"	"PMAIP1"	"KANK4"				
"CD52"	"LINC02256"	"TSPO"	"FAM95A"				
"MT1F"	"ABCD1"	"BNIP3L"	"ARL5C"				
"PSMA2"	"MICOS10P1"	"FFAR2"	"PIEZO2"				
"CD36"	"NINJ1"	"POLDIP3"	"MCCD1"				
"RPL7L1P3"	"SHMT2"	"MASTL"	"FOXR1"				
"CAVIN3"	"AGAP9"	"NCOA4"	"PCSK6-AS1"				
"RGS6"	"DUXAP8"	"TRIM66"	"LOC100130331"				
"MED14"	"GFUS"	"CD68"	"ADAM29"				
"UBE4A"	"PEF1"	"MICU1"	"DUSP4"				
"SLC19A1"	"TGFB1I1"	"RELA"	"PCSK6"				
"OR7A19P"	"TREML2"	"SERPINB9"	"C1orf195"				
"SNORD94"	"VWCE"	"ARF4"	"MIR6758"				
"ACAD8"	"GNPDA1"	"TMED9"	"FAM163A"				
"RPS3A"	"TSSC4"	"TMEM45B"	"CT55"				
"ENSG00000269967"	"C15orf39"	"AFTPH"	"LINC00664"				
"IDE"	"ZFAND3"	"MIF"	"TMEM235"				
"MYO1C"	"RNF10"	"SUPT6H"	"LOC101929613"				
"FNDC3B"	"SH3RF3"	"LPIN2"	"MIR6871"				
"JUND"	"EPHA1-AS1"	"MRPL30"	"LINC00320"				
"IGSF3"	"ADIPOR1"	"DNAJB11"	"GFRA3"				
"FADS1"	"UVRAG"	"PBXIP1"	"MIR4479"				
"ENSG00000278983"	"KAT7"	"ZNF527"	"LINC01219"				
"UBXN1"	"FOS"	"RPL14"	"MEIS1-AS2"				
"ACVR1B"	"ZC3HC1"	"TYMP"	"LDHAL6B"				
"CD177"	"COPZ1"	"TNFRSF1B"	"KCNJ15"				
"TMEM117"	"LINC02076"	"RPL11"	"LOC101928738"				
"LAMA3"	"DAD1"	"IVNS1ABP"	"ASB2"				
"CHST15"	"PINK1"	"KDELR2"	"LOC102723895"				
"GRINA"	"BCKDK"	"KLHL2"	"LINC01117"				
"TMEM140"	"FBXW4"	"ZNF234"	"FCGR3B"				
"ENSG00000232499"	"BCR"	"RLIM"	"ELANE"				
"DECR2"	"RBCK1"	"CXCL16"	"FAM95C"				
"ZNF570"	"EPM2A-DT"	"SLC25A34"	"CALHM3"				
"GLT1D1"	"MXI1"	"OCLN"	"CHRM5"				
"ENSG00000276517"	"AIFM1"	"METTL6"	"FERD3L"				
"THAP11"	"GPKOW"	"SCN3B"	"DHRS2"				
"TREM2"	"MEIS3P1"	"POLR2J3"	"NFE2"				
"TSKU"	"SMIM5"	"SH3BP5"	"C1orf94"				
"SNCA"	"TFEB"	"ARL17A"	"JAML"				
"SLC16A2"	"ORC6"	"ARFIP1"	"SNORD128"				
"URAHP"	"SF3A2"	"C17orf103"	"LPO"				
"ACO1"	"SEM1"	"KLHL24"	"MIR194-2HG"				
"ODAD4"	"CHST7"	"ODF3B"	"LINC00504"				
"SERPINF1"	"NR1H2"	"CPSF7"	"BAAT"				
"RPL21P65"	"BAG1"	"RPL6"	"LOC100507388"				
"RPL36AP33"	"MPND"	"GAPDH"	"LOC440982"				
"MOB3B"	"GPR146"	"MORF4L2"	"RASGRP3"				
"ENSG00000272941"	"ABL1"	"GAA"	"LINC00609"				
"RN7SKP16"	"MLF2"	"NFKBID"	"LOC101927960"				
"RNU6-130P"	"HSPB1"	"PTBP1"	"LINC01331"				
"RDH11"	"STRN4"	"PRKACA"	"LOC101927168"				
"SULT1B1"	"PCGF1"	"TIMP2"	"NMRK2"				
"F11"	"APRT"	"USMG5"	"HOXD1"				
"GCH1"	"TCL1A"	"GNB4"	"LOC100130698"				
"ENSG00000273243"	"ATP6V0C"	"HIAT1"	"CLEC18B"				
"ENSG00000232034"	"GDE1"	"PER2"	"CEL"				
"PLIN2"	"S100A11"	"LOC100129250"	"ANXA2P3"				
"ACADSB"	"TPRG1L"	"PHOSPHO1"	"LOC101929284"				
"SLC22A18"	"AK1"	"KDM3A"	"DIO3OS"				
"IBA57"	"LOC441666"	"RPS16"	"LOC101929341"				
"RN7SKP283"	"BANF1"	"MAB21L3"	"FAM151A"				
"ANG"	"GLUL"	"MGC2752"	"FAM66E"				
"CAPN5"	"UBE2M"	"PRKDC"	"NXPH2"				
"CEP112"	"CPQ"	"SYAP1"	"LINC01494"				
"DNAL1"	"PARN"	"RLF"	"LOC100130370"				
"GK-IT1"	"GSEC"	"AP2A1"	"CBLN4"				
"SFXN1"	"LTBP2"	"CANX"	"LINC00398"				
"VAMP1"	"GLB1"	"SNRPB"	"GIPR"				
"NDUFB8"	"KIR2DS2"	"SLC26A8"	"C21orf91-OT1"				
"EGR1"	"SRM"	"ETF1"	"NMUR2"				
"RPS9"	"RAB5C"	"LILRA3"	"BCRP3"				
"GRB10"	"NCAPD2"	"HIVEP1"	"TSPAN18"				
"PDK1"	"TMEM86B"	"RANBP2"	"RORC"				
"ENSG00000267587"	"CDK2AP2"	"NDUFB3"	"CD300LG"				
"PBLD"	"PDIA5"	"IFIT2"	"HIST1H1T"				
"IFT57"	"ST6GALNAC4"	"PNPLA8"	"MUC5AC"				
"ITGAE"	"H2BC12"	"CDK5RAP2"	"SLC17A6"				
"CTH"	"F13A1"	"ENO1"	"KRT8P41"				
"ENSG00000269044"	"SGO2"	"RAB22A"	"CD38"				
"ENSG00000271984"	"GIMAP7"	"NBN"	"MIR4513"				
"PMM1"	"CTDSP2"	"CPPED1"					
"POM121L9P"	"DNAJB6"	"EOGT"					
"RPIA"	"UBXN6"	"DHRSX"					
"SPINT2"	"MARCKSL1"	"UBE2L6"					
"SS18L1"	"RNF182"	"CCDC71L"					
"ANPEP"	"NUDT16L2P"	"NAPA"					
"RBP5"	"RNF123"	"HMGN1"					
"MSR1"	"ACRBP"	"DMXL2"					
"PDLIM1P4"	"C6orf136"	"MCOLN1"					
"CRTAC1"	"NFKBIE"	"RPS29"					
"MARS2"	"CDCA4"	"PRPF4"					
"PARP16"	"ATP6"	"IFIT3"					
"ENSG00000267385"	"LINC00937"	"ARHGDIA"					
"GNG11"	"SLC6A8"	"ZNF440"					
"DDB2"	"SLC25A1"	"ZNF554"					
"DAPK1"	"PPM1G"	"MAPKAPK3"					
"HHEX"	"KTN1"	"EMD"					
"PTPRQ"	"GRAP2"	"SERTAD1"					
"HYDIN"	"ETHE1"	"KCTD20"					
"CLTCL1"	"PGRMC1"	"MSMO1"					
"MORF4L1P1"	"PIP4P1"	"PECAM1"					
"ENO1P3"	"PIM1"	"MGAT4A"					
"MT1G"	"GPSM3"	"SLMO2"					
"KMO"	"CTSD"	"LOC284454"					
"PHAX"	"TLR4"	"AP2B1"					
"PDE8A"	"ARRB2"	"FAM210B"					
"HADHB"	"GYS1"	"ATXN2L"					
"TMEM177"	"ADA2"	"WARS"					
"PON2"	"AHSA2P"	"GGA1"					
"SERINC2"	"PCK2"	"ZNF37A"					
"GADD45GIP1"	"WDR54"	"EMB"					
"ENSG00000267430"	"USP39"	"LOC100506710"					
"NIT2"	"KIFBP"	"DNTTIP2"					
"SLC26A1"	"ALAS1"	"GZF1"					
"ID3"	"ISG20"	"OXSR1"					
"CCL20"	"TCN1"	"TPI1"					
"CRIP2"	"AP1M1"	"NKIRAS2"					
"MAB21L4"	"MYL4"	"DDX21"					
"RPS19"	"TUBB6"	"RBM41"					
"VAMP8"	"NPRL3"	"GTPBP1"					
"ENSG00000279250"	"ABCG1"	"CPD"					
"MPHOSPH9"	"ASGR1"	"IRAK3"					
"DNAJC25"	"RXRA"	"GPX4"					
"LGALSL"	"ADGRE1"	"SIGLEC10"					
"CLDN12"	"CORO1B"	"ZEB1"					
"TYW5"	"BAZ2B-AS1"	"HEXB"					
"HDGFL2"	"LOC100310756"	"USP14"					
"ZBTB25"	"DPM1"	"GPR65"					
"TRIM27"	"PRR5"	"ZNF516"					
"ZNF219"	"ABCF1"	"EML4"					
"GPD1L"	"MPP1"	"GBP6"					
"ENSG00000241489"	"ACKR1"	"HIF1A"					
"LACTB2"	"PLPPR2"	"AGPAT6"					
"MRO"	"SAC3D1"	"FAM174A"					
"CCDC148"	"USP7-AS1"	"RNF169"					
"H4C3"	"CHPT1"	"SESN2"					
"SOX18"	"GAS2L1"	"S100A4"					
"PHKA2"	"RBIS"	"SIN3A"					
"CCN4"	"FABP5"	"RABGEF1"					
"ENSG00000281091"	"FAXDC2"	"RGS2"					
"CLSTN3"	"KIR3DL1"	"QSOX1"					
"ENKD1"	"H2BC9"	"ATG2A"					
"UBTF"	"LOC105379250"	"HSP90AB1"					
"ENSG00000279236"	"MTX1"	"DNAJC14"					
"PLCD3"	"LILRA1"	"RHEB"					
"PLOD2"	"JAZF1"	"KCNE3"					
"ZNF207"	"RNPEPL1"	"RPS8"					
"CPM"	"R3HDM4"	"APH1B"					
"ZNF813"	"CBWD2"	"STOM"					
"BTG2"	"LINC01857"	"MOAP1"					
"CAPS"	"BRAT1"	"CD97"					
"ENSG00000279838"	"DBNL"	"MOCS3"					
"MTND2P28"	"ATP5ME"	"SEC16A"					
"MYOM3"	"SH2D2A"	"LINC00476"					
"ENSG00000270426"	"MYOM2"	"PLK3"					
"ARHGAP18"	"MTLN"	"SLC20A1"					
"CYP4F12"	"BTBD11"	"SULF2"					
"ENSG00000266709"	"OSGEP"	"NXPE3"					
"SYVN1"	"CPNE2"	"CD83"					
"ENSG00000256981"	"THTPA"	"TRAF3IP3"					
"VASH1"	"FKBP1B"	"CLEC2D"					
"PLLP"	"CHRAC1"	"RASA4"					
"HNRNPA0"	"FLJ32255"	"POLB"					
"FDPSP3"	"TGM2"	"MAP3K8"					
"NHSL1-AS1"	"CA2"	"PURB"					
"KHK"	"STMP1"	"GADD45B"					
"RPS3AP26"	"TRAV13-1"	"PLEKHB2"					
"ENSG00000278266"	"TAF15"						
"TUBB4B"	"TMEM250"						
"PIAS2"	"ZNF479"						
"TEDC1"	"GALNT6"						
"ZNF14"	"TMEM45B"						
"PDAP1"	"MICB"						
"SART1"	"FCRL4"						
"ZNF557"	"DBN1"						
"ENSG00000266805"	"GUCY1B1"						
"PZP"	"H4C8"						
"FAM174B"	"HPCAL1"						
"WASF1"	"MEST"						
"NWD1"	"OAZ2"						
"B3GALNT1"	"SELP"						
"ENSG00000260261"	"FBP1"						
"LARP4P"	"NCF4"						
"ENSG00000224972"	"TRAV21"						
"YIF1A"	"SAP130"						
"SPIN3"	"HYMAI"						
"ENSG00000276850"	"ASPHD2"						
"RRAS"	"KEAP1"						
"RPS25"	"PDZK1IP1"						
"RPS21"	"NEURL4"						
"FAM20A"	"CDA"						
"ALDOC"	"LSP1"						
"USP32"	"DNAJB2"						
"HGF"	"UBALD2"						
"SIAE"	"SFRP2"						
"LYG1"	"HBM"						
"LIFR-AS1"	"EIF2AK1"						
"METTL21AP1"	"TREX1"						
"SYPL2"	"ROGDI"						
"SEPTIN4-AS1"	"MMD"						
"MATK"	"GTSF1"						
"MMRN2"	"PDCD6P1"						
"TSPYL1"	"SLC20A2"						
"GLRB"	"ELOF1"						
"TWSG1"	"GUCD1"						
"RNF152"	"INAFM1"						
"RFX2"	"PUDP"						
"ENSG00000279814"	"RUVBL1"						
"ENSG00000225527"	"MSRB1"						
"RNU4ATAC11P"	"STRADB"						
"SRPRA"	"ANKRD9"						
"GRK5"	"LOC105379173"						
"SLC35B1"	"PRPF4"						
"ENSG00000279319"	"POLR1D"						
"AOC2"	"ZBTB8OS"						
"PPP2R1B"	"SSB"						
"NR1D1"	"RHOG"						
"YJU2"	"NOMO3"						
"ENSG00000285725"	"PSMC6"						
"XIRP1"	"DCXR"						
"DNAAF1"	"GPAT2"						
"CEBPB-AS1"	"ALDOAP2"						
"DLEC1"	"WDR45"						
"ALDH6A1"	"PGM1"						
"CDCA7L"	"CR1L"						
"RMDN3"	"RBM23"						
"SPTA1"	"MAGOH"						
"EBLN2"	"FGF7P3"						
"PPBP"	"C12orf43"						
"FAM174A"	"YIPF3"						
"SHMT2"	"STAT6"						
"TOR3A"	"RASSF10"						
"WIPI1"	"PSENEN"						
"USHBP1"	"U2AF1L4"						
"HAAO"	"C2orf42"						
"PRPF6"	"SLC15A3"						
"PLXNA2"	"CRYL1"						
"ENSG00000224967"	"HOXC6"						
"PGAM1P8"	"KIR3DL3"						
"SNX22"	"MST1L"						
"PLEKHF1"	"UBAP1"						
"RANGRF"	"STX5"						
"PTS"	"PLD3"						
"OTULINL"	"PNP"						
"TTC30B"	"ATIC"						
"EEF1A1P19"	"ASCC2"						
"ADAT2"	"SHKBP1"						
"ICAM5"	"ELMO1"						
"C14orf132"	"MT1X"						
"SLC23A2"	"HECW2-AS1"						
"ZCCHC2"	"ZNF542P"						
"STARD5"	"ZC3H15"						
"VKORC1"	"MED25"						
"SCYL2P1"	"PSMB9"						
"GPT2"	"LRFN1"						
"HMGCLL1"	"AP2M1"						
"TUBE1"	"KBTBD3"						
"SMARCA5"	"H2BC10"						
"DNAJB13"	"ZNF526"						
"LGALS8"	"MAP7D1"						
"SLC35E1P1"	"LOC105371967"						
"CEBPZOS"	"ITGA2B"						
"HMGCS1"	"H1-2"						
"REEP6"	"UQCRB"						
"RAPGEF3"	"CXCL8"						
"H1-10-AS1"	"ZNF628"						
"PI15"	"RECQL"						
"KIF3A"	"KLHDC8B"						
"KLF4"	"EVA1C"						
"ENSG00000279159"	"PRKAR2B"						
"PTPN3"	"RRAGD"						
"AKAP13"	"IPO4"						
"HLA-DPB1"	"ROPN1L"						
"STOX1"	"SIGLEC10"						
"MRPS23"	"TIGD3"						
"DHTKD1"	"RABAC1"						
"TACC1"	"P2RY12"						
"ENSG00000274677"	"SRRD"						
"MAGEH1"	"HBQ1"						
"ACSS2"	"SIRPB2"						
"CATIP"	"CLU"						
"FRMD3"	"PVRIG"						
"SLC7A2"	"HTT"						
"NOL7"	"UBL7"						
"ZSCAN18"	"TESC"						
"RPL13AP5"	"TMEM268"						
"CCDC9"	"MCOLN1"						
"WHAMMP3"	"KCNE3"						
"ACAT2"	"VPS51"						
"CCDC65"	"MFSD5"						
"MFAP1"	"GBP4"						
"PHLDA3"	"CCNJL"						
"PCCA"	"LOC101927166"						
"AQP4"	"SLC43A1"						
"SEC31A"	"PEX6"						
"NCL"	"FXYD6"						
"SPRY2"	"RAD23A"						
"MSMO1"	"TRAPPC10"						
"THBD"	"CHI3L1"						
"MRPS10"	"HAGH"						
"LINC02348"	"ANK1"						
"SOX17"	"FLOT2"						
"PXMP4"	"LBH"						
"SCARNA6"	"VAMP2"						
"SLC16A7"	"RPF2"						
"CLUAP1"	"PUSL1"						
"TAS2R3"	"SPDYE1"						
"NINJ1"	"AP2B1"						
"MPC1"	"TRAPPC5"						
"ARMCX1"	"SNRPE"						
"ENSG00000244313"	"TRIM21"						
"TBCC"	"PPP2R5B"						
"OBSL1"	"NFE2"						
"PDCL3"	"ATP6V1B2"						
"TGDS"	"DPP4"						
"ENSG00000276649"	"SIAH2"						
"ARRB1"	"GUK1"						
"FANK1"	"FRMD3"						
"MFSD14A"	"ZNF581"						
"MT-CYB"	"TMOD1"						
"CLIC5"	"ZNF808"						
"FZD1"	"ABHD2"						
"ALPK1"	"HDGF"						
"ZDHHC19"	"LINC00339"						
"ENSG00000261051"	"CTSA"						
"BICD2"	"HAUS4"						
"SYT7"	"MT1F"						
"NCAPH2"	"TUBB2A"						
"SLC2A10"	"DSPP"						
"IL1R2"	"CD7"						
"SLC38A7"	"RANBP10"						
"TRAPPC1"	"TRIM58"						
"SRP14"	"GATA1"						
"HNRNPCP6"	"PNPLA6"						
"FKBP8"	"ENO2"						
"AOC4P"	"PGLYRP1"						
"GRN"	"ADORA3"						
"ATRN"	"HLA-DMA"						
"VAT1"	"TMTC1"						
"CCDC112"	"CLEC1B"						
"AMOTL2"	"HSF5"						
"ENSG00000286314"	"LRRC25"						
"ENSG00000260865"	"YPEL4"						
"TLE2"	"SH3BGRL2"						
"EPS8L1"	"POR"						
"SPRYD3"	"CHURC1"						
"SMAD9"	"OCEL1"						
"C7orf50"	"AMIGO1"						
"HSPA12B"	"NDUFS5"						
"FMO3"	"SPATC1L"						
"MEG3"	"GRAMD1C"						
"KLF6"	"TGM3"						
"ST20"	"ACCS"						
"VPS37B"	"BCL2L1"						
"ENSG00000279544"	"SLC31A2"						
"STAB2"	"FAHD1"						
"SUSD2"	"RAD21-AS1"						
"IDH1"	"CAVIN2"						
"SLPI"	"GPX1"						
"MTND4P12"	"S100P"						
"ADGRV1"	"PRDX5"						
"ZNF700"	"NAPA"						
"CEP89"	"TRANK1"						
"FREM2"	"WBP2"						
"CBLC"	"HMBS"						
"GAPDHP43"	"NOP2"						
"SNORD62B"	"PRKCD"						
"ENSG00000277999"	"H2BC6"						
"GLYCTK"	"CD3E"						
"PIKFYVE"	"GMPPA"						
"SECISBP2L"	"MAF1"						
"PRX"	"PGM5P2"						
"LARP1B"	"PSMF1"						
"SPRYD4"	"TREML1"						
"GRAMD2B"	"DPEP3"						
"RPRD1B"	"CCR1"						
"PLBD1"	"DANCR"						
"PCDHB9"	"TNS1"						
"ENSG00000261560"	"H2AC6"						
"DNAJC12"	"MFSD13A"						
"C4B"	"KRT1"						
"ZNF653"	"PIGU"						
"COG3"	"TBCA"						
"TMEM37"	"PLEKHF1"						
"ITGA8"	"RAB5B"						
"XPNPEP1"	"ANKRD55"						
"ENSG00000234405"	"IFRD2"						
"ENSG00000230333"	"ITPRIPL1"						
"ZC3H4"	"GLT1D1"						
"PCDHB12"	"CXCR1"						
"TTPAL"	"DCAF12"						
"SLC46A3"	"POLD2"						
"ENSG00000261596"	"CD38"						
"ENSG00000225213"	"ZER1"						
"GPC6"	"SLC27A3"						
"BACH1-IT3"	"PLAUR"						
